"Ticker","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"MMM","$IT $EARN $A $BOX $AT $ADS
$MMM!
$BWA! $IT $FLOW $TWO $ADS $AGO",FALSE,0,NA,"2017-03-26 22:49:44",FALSE,NA,846132086029389824,NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","stockbard",0,FALSE,FALSE,NA,NA
"MMM","Check it out they're working with Tideglusib an GSK-3 inhibitor also surprisingly $MMM is also involved in this new treatment.",FALSE,0,NA,"2017-03-26 21:58:48",FALSE,NA,846119268223782912,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BestStockTrades",0,FALSE,FALSE,NA,NA
"MMM","@FeministaJones @realDonaldTrump Nows your chance to play hardball with Insurance CEOs &amp; redeem yourself. Free mrkt doesn't support $MMM pay",FALSE,0,"FeministaJones","2017-03-26 21:50:37",FALSE,845731815109394432,846117210288504832,40684090,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuzeeSusie",0,FALSE,FALSE,NA,NA
"MMM","#3M Company: Quality and Diversification But Not a Buy $MMM #investing @seekingalpha https://t.co/z77LaUA06h https://t.co/DXsskczzke",FALSE,0,NA,"2017-03-26 19:30:20",FALSE,NA,846081906160685056,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","JC_PIP",0,FALSE,FALSE,NA,NA
"MMM","$HE $ACE $MR $GLOP
$I $AM $MS $HOT
$MMM!",FALSE,0,NA,"2017-03-26 16:49:43",FALSE,NA,846041485904674816,NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","stockbard",0,FALSE,FALSE,NA,NA
"MMM","#SundayFunday #StreerArt #SanFrancisco Vista Partners InvestingForlife https://t.co/1x6MLaGp0d $DIA $CAFN $MMM $KO https://t.co/APV0E6iKwn",FALSE,0,NA,"2017-03-26 14:13:19",FALSE,NA,846002124748042240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VistaPResearch",1,FALSE,FALSE,NA,NA
"MMM","#Dividend Growth Investing at Work - Another Early #Valentines Gift $MMM #investing #stocks https://t.co/gGo98rbHr6 https://t.co/UoDFJD1hfO",FALSE,0,NA,"2017-03-26 11:45:13",FALSE,NA,845964853554692096,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","JC_PIP",0,FALSE,FALSE,NA,NA
"MMM","RT @GES_Forex: $MMM closed above R1. Next stop brown trendline. #stocks #trading https://t.co/ZIXAu0nP1k",FALSE,0,NA,"2017-03-26 11:19:50",FALSE,NA,845958466233602048,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stockwhispers",1,TRUE,FALSE,NA,NA
"MMM","RT @ChartMill: Don't miss out on this one $MMM  https://t.co/K7tkOyi1lD #Leads #ATSOPRO",FALSE,0,NA,"2017-03-26 06:35:45",FALSE,NA,845886975693508608,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UKHashtags",3,TRUE,FALSE,NA,NA
"MMM","RT @ChartMill: Trending on #StockTwits $MMM at https://t.co/jLPVIeb8n5 #b2b #success",FALSE,0,NA,"2017-03-26 03:34:18",FALSE,NA,845841313710948352,NA,"<a href=""http://curationsuite.com"" rel=""nofollow"">CurationSuite</a>","CurationSuite",2,TRUE,FALSE,NA,NA
"MMM","Unicorn Bay rating for $MMM is 2.61 out of 5. https://t.co/MRysz70sWy",FALSE,0,NA,"2017-03-26 03:27:05",FALSE,NA,845839494213459968,NA,"<a href=""https://unicornbay.com"" rel=""nofollow"">Unicorn1MinuteApp</a>","1MinuteStock",0,FALSE,FALSE,NA,NA
"MMM","Don't miss out on this one $MMM  https://t.co/K7tkOyi1lD #Leads #ATSOPRO",FALSE,0,NA,"2017-03-26 03:19:56",FALSE,NA,845837695305830400,NA,"<a href=""http://www.chartmill.com"" rel=""nofollow"">www.chartmill.com</a>","ChartMill",3,FALSE,FALSE,NA,NA
"MMM","Trending on #StockTwits $MMM at https://t.co/jLPVIeb8n5 #b2b #success",FALSE,0,NA,"2017-03-26 03:06:55",FALSE,NA,845834421420904448,NA,"<a href=""http://www.chartmill.com"" rel=""nofollow"">www.chartmill.com</a>","ChartMill",2,FALSE,FALSE,NA,NA
"MMM","Not sure what to do with $MMM? Explore our #fundamental pros and cons.  https://t.co/Myi7wU7pD6",FALSE,0,NA,"2017-03-26 02:55:04",FALSE,NA,845831439526625280,NA,"<a href=""https://unicornbay.com"" rel=""nofollow"">Unicorn1MinuteApp</a>","1MinuteStock",0,FALSE,FALSE,NA,NA
"MMM","Explore #fundamental numbers and pros and cons for $MMM https://t.co/n7x9QvVtj6",FALSE,0,NA,"2017-03-26 02:47:04",FALSE,NA,845829424553562112,NA,"<a href=""https://unicornbay.com"" rel=""nofollow"">Unicorn1MinuteApp</a>","1MinuteStock",0,FALSE,FALSE,NA,NA
"MMM","We calculated 63-day Expected Return of $MMM for you: 7.25% https://t.co/p3BCkLy0E4",FALSE,0,NA,"2017-03-26 02:24:02",FALSE,NA,845823630147760128,NA,"<a href=""https://unicornbay.com"" rel=""nofollow"">Unicorn1MinuteApp</a>","1MinuteStock",0,FALSE,FALSE,NA,NA
