Ticker,date,Open,High,Low,Close,Volume,Adj.Close,Dollar.chg,Pct.chg,Volatility,RISE
PPL,3/24/2017,37.630001,37.830002,37.490002,37.599998,2249300,37.599998,-0.030003,-0.000797316,0.009042554,0
FB,3/15/2017,139.289993,140.100006,138.490005,139.720001,19299100,139.720001,0.430008,0.003087142,0.011523053,1
FB,3/16/2017,140.199997,140.25,139.729996,139.990005,13594000,139.990005,-0.209992,-0.001497803,0.003714579,0
FB,3/17/2017,140.339996,140.339996,139.699997,139.839996,20474300,139.839996,-0.5,-0.003562776,0.004576652,0
FB,3/20/2017,139.710007,140.190002,139.25,139.940002,11775900,139.940002,0.229995,0.001646231,0.006717179,1
FB,3/21/2017,141.149994,142.309998,138.399994,138.509995,29698100,138.509995,-2.639999,-0.018703501,0.028229039,0
FB,3/22/2017,137.929993,139.789993,137.600006,139.589996,17000300,139.589996,1.660003,0.012035113,0.01568871,1
FB,3/23/2017,139.479996,140.389999,139.089996,139.529999,12350800,139.529999,0.050003,0.000358496,0.009317014,1
FB,3/24/2017,140.080002,141.020004,139.759995,140.339996,16542100,140.339996,0.259994,0.001856039,0.00897826,1
ES,3/15/2017,58.389999,59.450001,58.34,59.130001,2059000,59.130001,0.740002,0.012673437,0.018772213,1
ES,3/16/2017,58.849998,58.950001,58.400002,58.540001,986600,58.540001,-0.309997,-0.005267579,0.009395268,0
ES,3/17/2017,58.779999,59.41,58.689999,58.93,3298600,58.93,0.150001,0.002551905,0.012217903,1
ES,3/20/2017,58.98,59.299999,58.349998,58.48,1285500,58.48,-0.5,-0.00847745,0.016244887,0
ES,3/21/2017,58.41,59.720001,58.34,59.439999,1775800,59.439999,1.029999,0.01763395,0.023216706,1
ES,3/22/2017,59.759998,60.209999,59.52,59.709999,1512600,59.709999,-0.049999,-0.000836663,0.011555837,0
ES,3/23/2017,59.599998,60.279999,59.529999,59.669998,1220800,59.669998,0.07,0.001174497,0.012569131,1
ES,3/24/2017,59.580002,60.16,59.509998,60.009998,1301400,60.009998,0.429996,0.00721712,0.010831562,1
CCI,3/15/2017,88.860001,90.330002,88.709999,89.919998,2883000,89.919998,1.059997,0.011928843,0.018016048,1
CCI,3/16/2017,89.919998,90.199997,89.040001,89.620003,2528100,89.620003,-0.299995,-0.003336243,0.012943494,0
CCI,3/17/2017,89.599998,90.32,89.529999,89.800003,2597700,89.800003,0.200005,0.002232199,0.008797338,1
CCI,3/20/2017,89.800003,91.07,89.779999,90.889999,2404400,90.889999,1.089996,0.01213804,0.014192992,1
CCI,3/21/2017,91.18,92.059998,90.620003,90.699997,3294100,90.699997,-0.480003,-0.005264345,0.015876461,0
