"Ticker","date","Open","High","Low","Close","Volume","Adj.Close","Dollar.chg","Pct.chg","Volatility","RISE","favoriteCount","retweetCount","Score","Positive","Negative","Tweet_Total_Count"
"ABT","2017-03-22",44.939999,45.07,44.59,44.810001,5188900,44.810001,-0.129998000000001,-0.00289270144398536,0.0107118944273176,0,13,26,4,8,4,48
"ABT","2017-03-23",44.709999,44.990002,44.59,44.77,3952800,44.77,0.0600009999999997,0.00134200405596072,0.00893459906187164,1,3,8,-1,2,3,25
"ABT","2017-03-24",44.759998,45.150002,44.599998,44.73,4698000,44.73,-0.0299980000000062,-0.000670196634057182,0.0122960876369327,0,22,56,3,10,7,87
"ABT","2017-03-27",44.529999,44.799999,44.389999,44.700001,6914700,44.700001,0.170002000000004,0.00381769602105771,0.00917225930263394,1,1,8,1,5,4,37
"ACN","2017-03-20",125.220001,125.389999,124.169998,124.389999,2182300,124.389999,-0.830001999999993,-0.00662835005088359,0.00980787048643674,0,11,46,7,14,7,55
"ACN","2017-03-21",125.080002,125.410004,123.629997,124.639999,3210500,124.639999,-0.44000299999999,-0.00351777256927123,0.0142811859297271,0,41,50,7,17,10,57
"ACN","2017-03-22",125.029999,126.529999,124.470001,126.480003,4281600,126.480003,1.45000399999999,0.0115972487530772,0.0162871438262063,1,58,29,3,20,17,91
"ACN","2017-03-23",122.709999,123.010002,120.540001,120.760002,6875200,120.760002,-1.949997,-0.0158911010992674,0.0204538005887081,0,97,111,-22,34,56,243
"ACN","2017-03-24",120.779999,121.309998,118.760002,118.980003,3930800,118.980003,-1.79999600000001,-0.0149030966625526,0.021432139315041,0,16,25,-16,16,32,102
"ACN","2017-03-27",118.730003,119.800003,118.300003,119.389999,3116900,119.389999,0.659996000000007,0.00555879713066298,0.0125638664256962,1,20,6,11,21,10,65
"ADBE","2017-03-20",126.989998,128.089996,125.790001,126.309998,3252400,126.309998,-0.680000000000007,-0.00535475242703765,0.0182091286233732,0,22,9,5,26,21,97
"ADBE","2017-03-21",126.639999,127.360001,124.959999,125.07,3070800,125.07,-1.56999900000001,-0.0123973390113499,0.0191892700087951,0,53,50,-27,26,53,201
"ADBE","2017-03-22",124.599998,126.940002,124.510002,126.209999,3451300,126.209999,1.610001,0.0129213565476943,0.0192536250634152,1,22,16,0,26,26,114
"ADBE","2017-03-23",126.199997,127.25,126.010002,126.870003,2197200,126.870003,0.670006000000001,0.00530908095029512,0.00977376819325842,1,14,25,14,26,12,104
"ADBE","2017-03-27",127.480003,128.839996,126.360001,128.25,2424200,128.25,0.769997000000004,0.00604013948760264,0.0193371929824563,1,17,37,22,28,6,109
"ADI","2017-03-20",83.260002,83.699997,82.879997,82.900002,2670700,82.900002,-0.359999999999999,-0.00432380484449183,0.00989143522577953,0,3,2,2,5,3,37
"ADI","2017-03-21",83.25,83.459999,81.690002,81.800003,3300700,81.800003,-1.449997,-0.0174173813813813,0.0216381043409007,0,23,53,-4,1,5,36
"ADI","2017-03-22",81.839996,82.260002,81.650002,82.120003,2604300,82.120003,0.280006999999998,0.00342139557289321,0.00742815364972648,1,5,6,3,4,1,17
"ADI","2017-03-23",82.239998,82.330002,81.309998,81.540001,3395000,81.540001,-0.699996999999996,-0.00851163688014677,0.0125092468419273,0,2,0,4,5,1,16
"ADI","2017-03-27",81,81.540001,80.389999,81.400002,2450700,81.400002,0.400002000000001,0.0049382962962963,0.0141277883506686,1,8,3,3,10,7,40
"ADM","2017-03-20",44.599998,44.98,44.009998,44.849998,3833100,44.849998,0.25,0.00560538141728168,0.0216276932721378,1,7,3,5,5,0,22
"ADM","2017-03-21",44.919998,45.240002,44.669998,44.950001,3483700,44.950001,0.0300030000000007,0.000667920777734689,0.0126808451016497,1,1,2,4,4,0,12
"ADM","2017-03-22",44.919998,45.650002,44.919998,45.610001,2618300,45.610001,0.690002999999997,0.0153607086091143,0.0160053493530948,1,5,2,3,4,1,11
"ADM","2017-03-23",45.610001,46.029999,45.400002,45.610001,1590900,45.610001,0,0,0.0138126942816773,0,2,5,7,8,1,12
